ID,First Name,Last Name,Scrapped Name,Country,Birthdate,Died,Batting style,Bowling style
219885,Tom,Cooper,TLW Cooper,Netherlands,1986-11-26 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
1129328,Teja,Nidamanuru,AT Nidamanuru,Netherlands,1994-08-22 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
440522,Logan,van,LV van Beek,Netherlands,1990-09-07 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium-fast
1193548,Tim,Pringle,TJG Pringle,Netherlands,2002-08-29 00:00:00+00:00,Alive,Right-hand bat,Slow left-arm orthodox
1195672,Aryan,Dutt,A Dutt,Netherlands,2003-05-12 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
416103,Vivian,Kingma,VJ Kingma,Netherlands,1994-10-23 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium-fast
1184439,Musa,Ahmed,Musa Ahmed,Netherlands,1997-12-10 00:00:00+00:00,Alive,Left-hand bat,Legbreak
1278252,Shariz,Ahmad,Shariz Ahmad,Netherlands,2003-04-21 00:00:00+00:00,Alive,Left-hand bat,Legbreak googly
215155,Usman,Khawaja,UT Khawaja,Australia,1986-12-18 00:00:00+00:00,Alive,Left-hand bat,Right-arm medium
219889,David,Warner,DA Warner,Australia,1986-10-27 00:00:00+00:00,Alive,Left-hand bat,Legbreak
787987,Marnus,Labuschagne,M Labuschagne,Australia,1994-06-22 00:00:00+00:00,Alive,Right-hand bat,Legbreak
267192,Steven,Smith,SPD Smith,Australia,1989-06-02 00:00:00+00:00,Alive,Right-hand bat,Legbreak googly
530011,Travis,Head,TM Head,Australia,1993-12-29 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
326434,Alex,Carey,AT Carey,Australia,1991-08-27 00:00:00+00:00,Alive,Left-hand bat,
311592,Mitchell,Starc,MA Starc,Australia,1990-01-30 00:00:00+00:00,Alive,Left-hand bat,Left-arm fast
489889,Pat,Cummins,PJ Cummins,Australia,1993-05-08 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast
272279,Nathan,Lyon,NM Lyon,Australia,1987-11-20 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
288284,Josh,Hazlewood,JR Hazlewood,Australia,1991-01-08 00:00:00+00:00,Alive,Left-hand bat,Right-arm fast-medium
590326,Mitchell,Swepson,MJ Swepson,Australia,1993-10-04 00:00:00+00:00,Alive,Right-hand bat,Legbreak
5334,Aaron,Finch,AJ Finch,Australia,1986-11-17 00:00:00+00:00,Alive,Right-hand bat,Slow left-arm orthodox
603410,Ben,McDermott,BR McDermott,Australia,1994-12-12 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
325012,Marcus,Stoinis,MP Stoinis,Australia,1989-08-16 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
398666,Sean,Abbott,SA Abbott,Australia,1992-02-29 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
826915,Nathan,Ellis,NT Ellis,Australia,1994-09-22 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
379504,Adam,Zampa,A Zampa,Australia,1992-03-31 00:00:00+00:00,Alive,Right-hand bat,Legbreak googly
272477,Jason,Behrendorff,JP Behrendorff,Australia,1990-04-20 00:00:00+00:00,Alive,Right-hand bat,Left-arm fast-medium
662235,Josh,Inglis,JP Inglis,Australia,1995-03-04 00:00:00+00:00,Alive,Right-hand bat,
679567,Ben,Dwarshuis,BJ Dwarshuis,Australia,1994-06-23 00:00:00+00:00,Alive,Left-hand bat,Left-arm fast-medium
568276,Imam-,ul-Haq,Imam-ul-Haq,Pakistan,1995-12-22 00:00:00,Alive,Left-hand bat,Left-arm medium-fast
629058,Najmul,Hossain,Nazmul Hossain Shanto,Bangladesh,1998-08-25 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
932355,Ebadot,Hossain,Ebadat Hossain,Bangladesh,1994-01-07 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
536936,Liton,Das,Liton Das,Bangladesh,1994-10-13 00:00:00,Alive,Right-hand bat,Right-arm medium
436677,Soumya,Sarkar,Soumya Sarkar,Bangladesh,1993-02-25 00:00:00,Alive,Left-hand bat,Right-arm medium-fast
56143,Shakib,Al,Shakib Al Hasan,Bangladesh,1987-03-24 00:00:00,Alive,Left-hand bat,Slow left-arm orthodox
935995,Afif,Hossain,Afif Hossain,Bangladesh,1999-09-22 00:00:00,Alive,Left-hand bat,Right-arm offbreak
550133,Mosaddek,Hossain,Mosaddek Hossain,Bangladesh,1995-10-12 00:00:00,Alive,Right-hand bat,Right-arm offbreak
410765,Nurul,Hasan,Nurul Hasan,Bangladesh,1993-11-21 00:00:00,Alive,Right-hand bat,Right-arm medium
538506,Taskin,Ahmed,Taskin Ahmed,Bangladesh,1995-03-04 00:00:00,Alive,Left-hand bat,Right-arm fast
348049,Nasum,Ahmed,Nasum Ahmed,Bangladesh,1994-05-12 00:00:00,Alive,Left-hand bat,Slow left-arm orthodox
1001587,Mustafizur,Rahman,Mustafizur Rahman,Bangladesh,1991-06-13 00:00:00,Alive,Right-hand bat,Right-arm offbreak
233712,Stephan,Myburgh,SJ Myburgh,Netherlands,1984-02-28 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
379774,Colin,Ackermann,CN Ackermann,Netherlands,1991-04-04 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
886607,SA,Edwards,SA Edwards,Netherlands,,Alive,Right-hand bat,Right-arm medium
47850,Roelof,van,RE van der Merwe,Netherlands,1984-12-31 00:00:00+00:00,Alive,Right-hand bat,Slow left-arm orthodox
1104703,Fred,Klaassen,FJ Klaassen,Netherlands,1992-11-13 00:00:00+00:00,Alive,Right-hand bat,Left-arm fast-medium
348109,Paul,van,PA van Meekeren,Netherlands,1993-01-15 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
595419,Brandon,Glover,BD Glover,Netherlands,1997-04-03 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast
372116,Temba,Bavuma,T Bavuma,South Africa,1990-05-17 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
379143,Quinton,de,Q de Kock,South Africa,1992-12-17 00:00:00+00:00,Alive,Left-hand bat,
318845,Rilee,Rossouw,RR Rossouw,South Africa,1989-10-09 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
600498,Aiden,Markram,AK Markram,South Africa,1994-10-04 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
436757,Heinrich,Klaasen,H Klaasen,South Africa,1991-07-30 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
595978,Tristan,Stubbs,T Stubbs,South Africa,2000-08-14 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
265564,Wayne,Parnell,WD Parnell,South Africa,1989-07-30 00:00:00+00:00,Alive,Left-hand bat,Left-arm medium-fast
550215,Kagiso,Rabada,K Rabada,South Africa,1995-05-25 00:00:00+00:00,Alive,Left-hand bat,Right-arm fast
481979,Anrich,Nortje,A Nortje,South Africa,1993-11-16 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast
542023,Lungi,Ngidi,L Ngidi,South Africa,1996-03-29 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast-medium
379145,Tabraiz,Shamsi,T Shamsi,South Africa,1990-02-18 00:00:00+00:00,Alive,Right-hand bat,Left-arm wrist-spin
670013,Fabian,Allen,FH Allen,New Zealand,1995-05-07 00:00:00+00:00,Alive,Right-hand bat,Slow left-arm orthodox
379140,Devon,Conway,DP Conway,New Zealand,1991-07-08 00:00:00+00:00,Alive,Left-hand bat,Right-arm medium
277906,Kane,Williamson,KS Williamson,New Zealand,1990-08-08 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
823509,Glenn,Phillips,GD Phillips,New Zealand,1996-12-06 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
381743,Daryl,Mitchell,DJ Mitchell,New Zealand,1991-05-20 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
355269,James,Neesham,JDS Neesham,New Zealand,1990-09-17 00:00:00+00:00,Alive,Left-hand bat,Right-arm medium-fast
502714,Mitchell,Santner,MJ Santner,New Zealand,1992-02-05 00:00:00+00:00,Alive,Left-hand bat,Slow left-arm orthodox
232364,Tim,Southee,TG Southee,New Zealand,1988-12-11 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium-fast
559066,Ish,Sodhi,IS Sodhi,New Zealand,1992-10-31 00:00:00+00:00,Alive,Right-hand bat,Legbreak
493773,Lockie,Ferguson,LH Ferguson,New Zealand,1991-06-13 00:00:00+00:00,Alive,Right-hand bat,Right-arm fast
277912,Trent,Boult,TA Boult,New Zealand,1989-07-22 00:00:00+00:00,Alive,Right-hand bat,Left-arm fast-medium
922941,Abdullah,Shafique,Abdullah Shafique,Pakistan,1999-11-20 00:00:00,Alive,Right-hand bat,Right-arm offbreak
212153,Azhar,Ali,Azhar Ali,Pakistan,2068-02-02 00:00:00,Alive,Right-hand bat,Right-arm offbreak
40250,Fawad,Alam,Fawad Alam,Pakistan,1985-08-10 00:00:00,Alive,Left-hand bat,Slow left-arm orthodox
238672,Nauman,Ali,Nauman Ali,Pakistan,1986-07-10 00:00:00,Alive,Left-hand bat,Slow left-arm orthodox
1076625,Sajid,Khan,Sajid Khan,Pakistan,2002-08-07 00:00:00,Alive,Right-hand bat,Right-arm medium
332345,C,Green,C Green,Australia,,Alive,Right-hand bat,Right-arm medium
681117,Faheem,Ashraf,Faheem Ashraf,Pakistan,1994-01-16 00:00:00,Alive,Left-hand bat,Right-arm medium
652687,Saud,Shakeel,Saud Shakeel,Pakistan,1995-05-09 00:00:00,Alive,Left-hand bat,Left-arm slow
43817,Zahid,Mahmood,Zahid Mahmood,Pakistan,2068-03-09 00:00:00,Alive,Right-hand bat,Right-arm medium
623977,Agha,Salman,Agha Salman,Pakistan,1993-11-23 00:00:00,Alive,Right-hand bat,Right-arm offbreak
1153767,Vikramjit,Singh,Vikramjit Singh,Netherlands,,Alive,Left-hand bat,Right-arm medium-fast
234675,Ravindra,Jadeja,RA Jadeja,India,1988-12-06 00:00:00+00:00,Alive,Left-hand bat,Slow left-arm orthodox
430246,Yuzvendra,Chahal,YS Chahal,India,1990-07-23 00:00:00+00:00,Alive,Right-hand bat,Legbreak googly
694211,Avesh,Khan,Avesh Khan,India,1996-12-13 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
350629,Nizakat,Khan,Nizakat Khan,Hong Kong,1992-08-07 00:00:00,Alive,Right-hand bat,Legbreak
233904,Yasim,Murtaza,Yasim Murtaza,Hong Kong,1990-04-12 00:00:00,Alive,Left-hand bat,Slow left-arm orthodox
539304,Babar,Hayat,Babar Hayat,Hong Kong,1992-05-01 00:00:00,Alive,Right-hand bat,Right-arm medium
401537,Kinchit,Shah,KD Shah,Hong Kong,1995-12-09 00:00:00+00:00,Alive,Left-hand bat,Right-arm offbreak
401540,Aizaz,Khan,Aizaz Khan,Hong Kong,1993-03-21 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
352284,Zeeshan,Ali,Zeeshan Ali,Hong Kong,2071-04-03 00:00:00,Alive,Right-hand bat,Right-arm medium
1068983,Haroon,Arshad,Haroon Arshad,Hong Kong,1999-09-06 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
40082,Ehsan,Khan,Ehsan Khan,Hong Kong,1984-12-27 00:00:00,Alive,Right-hand bat,Right-arm offbreak
1167779,Ayush,Shukla,A Shukla,Hong Kong,2002-10-28 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
633428,Mohammad,Ghazanfar,Mohammad Ghazanfar,Hong Kong,1994-12-28 00:00:00,Alive,Right-hand bat,Legbreak
931581,Rishabh,Pant,RR Pant,India,1997-10-04 00:00:00+00:00,Alive,Left-hand bat,
497121,Deepak,Hooda,DJ Hooda,India,1995-04-19 00:00:00+00:00,Alive,Right-hand bat,Right-arm offbreak
1175441,Ravi,Bishnoi,Ravi Bishnoi,India,2000-05-09 00:00:00,Alive,Right-hand bat,Legbreak googly
793457,Hazratullah,Zazai,Hazratullah,Afghanistan,1998-03-23 00:00:00+00:00,Alive,Left-hand bat,Slow left-arm orthodox
974087,Rahmanullah,Gurbaz,Rahmanullah Gurbaz,Afghanistan,2001-11-28 00:00:00,Alive,Right-hand bat,Right-arm medium
921509,Ibrahim,Zadran,Ibrahim Zadran,Afghanistan,2001-12-12 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
793467,Karim,Janat,Karim Janat,Afghanistan,1998-11-08 00:00:00,Alive,Right-hand bat,Right-arm medium
524049,Najibullah,Zadran,Najibullah Zadran,Afghanistan,1993-02-28 00:00:00,Alive,Left-hand bat,Right-arm offbreak
1076655,Mohammad,Nabi,Mohammad Nabi,Afghanistan,2002-03-08 00:00:00,Alive,Right-hand bat,Right-arm medium
819429,Azmatullah,Omarzai,Azmatullah Omarzai,Afghanistan,2000-03-24 00:00:00,Alive,Right-hand bat,Right-arm medium-fast
25923,Rashid,Khan,Rashid Khan,Afghanistan,1984-01-01 00:00:00,Alive,Right-hand bat,Right-arm medium
974109,Mujeeb,Ur,Mujeeb Ur Rahman,Afghanistan,2001-03-28 00:00:00,Alive,Right-hand bat,Right-arm offbreak
568136,Fareed,Ahmad,Fareed Ahmad,Afghanistan,1994-10-08 00:00:00,Alive,Left-hand bat,Left-arm fast-medium
974175,Fazalhaq,Farooqi,Fazalhaq Farooqi,Afghanistan,2000-09-22 00:00:00+00:00,Alive,Right-hand bat,Left-arm fast-medium
459752,Scott,Mckechnie,ss mechkechnie,Hong Kong,1993-01-01 00:00:00+00:00,Alive,Right-hand bat,Right-arm medium
